last_name,first_name,player_id,year,b_total_pa,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,slg_percent,on_base_percent,on_base_plus_slg,b_catcher_interf,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,
Rojas,Josh,668942,2021,550,82,32,3,11,137,58,.411,.338,.749,4,0,50,129,36,7,
Marsh,Brandon,669016,2021,260,43,12,3,2,91,20,.356,.315,.671,0,2,23,48,14,1,
Burnes,Corbin,669203,2021,59,8,0,0,0,26,3,.154,.186,.340,0,0,0,18,3,1,
Murphy,Sean,669221,2021,448,45,23,0,17,114,40,.405,.306,.710,0,12,56,94,23,23,
Senzel,Nick,669222,2021,124,23,4,0,1,16,12,.315,.323,.638,0,0,22,34,8,4,
Edman,Tommy,669242,2021,691,113,41,3,11,95,38,.387,.307,.694,0,6,110,194,55,25,
Solak,Nick,669256,2021,511,80,18,2,11,107,34,.362,.313,.676,0,15,52,145,27,20,
Smith,Will,669257,2021,501,61,19,2,25,101,58,.495,.365,.860,0,18,94,81,23,17,
Johnson,Daniel,669288,2021,81,13,0,0,4,27,4,.377,.259,.636,0,0,13,11,3,6,
Espinal,Santiago,669289,2021,246,53,13,1,2,30,22,.405,.374,.779,0,1,32,57,16,19,
Hiura,Keston,669374,2021,197,15,9,1,4,77,14,.301,.254,.554,0,7,20,30,9,10,
Hays,Austin,669720,2021,529,73,26,4,22,107,28,.461,.306,.767,0,9,74,123,35,27,
Lopez,Nicky,670032,2021,565,120,21,6,2,74,49,.378,.358,.736,0,4,63,180,31,13,
Raley,Luke,670042,2021,72,9,1,0,2,25,2,.288,.250,.538,0,4,8,17,3,1,
Short,Zack,670097,2021,184,12,4,0,6,59,22,.282,.239,.521,0,0,31,23,11,15,
Rojas,Jose,670351,2021,184,15,14,0,6,50,15,.399,.277,.676,0,1,26,32,13,12,
Young,Andrew,670370,2021,104,6,7,0,6,45,6,.484,.298,.782,0,6,7,16,3,1,
Alvarez,Yordan,670541,2021,598,80,35,1,33,145,50,.531,.346,.877,0,8,76,118,33,16,
Paredes,Isaac,670623,2021,85,10,3,1,1,11,10,.319,.306,.625,0,1,16,17,7,8,
Brosseau,Mike,670712,2021,169,14,9,0,5,53,15,.347,.266,.613,0,2,21,29,8,11,
Walls,Taylor,670764,2021,176,21,10,0,1,49,23,.296,.313,.609,0,0,21,40,7,4,
Garcia,Luis,671277,2021,247,31,18,2,6,43,11,.411,.275,.686,0,0,23,89,18,6,
Kelenic,Jarred,672284,2021,377,33,13,1,14,106,36,.350,.265,.615,0,3,54,88,14,14,
Kirk,Alejandro,672386,2021,189,24,8,0,8,22,19,.436,.328,.764,0,3,33,49,14,8,
Marcano,Tucupita,672779,2021,50,7,1,0,0,9,6,.205,.280,.485,0,0,5,20,2,0,
Robert,Luis,673357,2021,296,57,22,1,13,61,14,.567,.378,.946,0,5,34,54,19,13,
Akiyama,Shogo,673451,2021,183,25,8,0,0,40,14,.253,.279,.532,1,4,14,58,15,4,
Kim,Ha-Seong,673490,2021,298,32,12,2,8,71,22,.352,.268,.621,0,4,34,66,20,26,
Clement,Ernie,676391,2021,133,21,4,0,3,19,7,.339,.278,.617,0,2,24,36,11,6,
Barrero,Jose,676480,2021,56,5,4,1,0,17,3,.320,.286,.606,0,3,11,8,2,2,
Meyers,Jake,676694,2021,163,24,8,0,6,50,10,.438,.319,.757,0,4,15,35,8,2,
Trejo,Alan,676701,2021,50,7,2,0,1,15,3,.326,.260,.586,0,0,4,11,6,1,
McCormick,Chas,676801,2021,320,47,12,0,14,104,25,.447,.319,.766,0,4,48,46,11,7,
Franco,Wander,677551,2021,308,51,18,5,7,37,24,.463,.347,.810,0,2,40,83,22,17,
Duran,Jarren,680776,2021,112,16,3,2,2,40,4,.336,.241,.578,0,0,11,24,5,5,
Jeffers,Ryan,680777,2021,293,28,10,1,14,108,22,.401,.270,.670,0,4,26,55,13,12,
Miller,Owen,680911,2021,202,27,8,0,4,54,9,.309,.243,.551,0,1,14,61,19,5,
Vaughn,Andrew,683734,2021,469,61,22,0,15,101,41,.396,.309,.705,0,6,70,110,30,12,
